Year,Circulation Per Capita,Library
2011,7.59245,FOLSOM PUBLIC LIBRARY
2012,0.09128,FOLSOM PUBLIC LIBRARY
2013,0.11452,FOLSOM PUBLIC LIBRARY
2014,0.15064,FOLSOM PUBLIC LIBRARY
2015,7.94341,FOLSOM PUBLIC LIBRARY
2016,8.59864,FOLSOM PUBLIC LIBRARY
2017,9.3064,FOLSOM PUBLIC LIBRARY
2018,9.49082,FOLSOM PUBLIC LIBRARY
2019,7.31535,FOLSOM PUBLIC LIBRARY
2010,4.24543,FRESNO COUNTY PUBLIC LIBRARY
2011,4.33964,FRESNO COUNTY PUBLIC LIBRARY
2012,0.1046,FRESNO COUNTY PUBLIC LIBRARY
2013,0.20218,FRESNO COUNTY PUBLIC LIBRARY
2014,0.44181,FRESNO COUNTY PUBLIC LIBRARY
2015,4.05194,FRESNO COUNTY PUBLIC LIBRARY
2016,4.29434,FRESNO COUNTY PUBLIC LIBRARY
2017,4.20047,FRESNO COUNTY PUBLIC LIBRARY
2018,3.15217,FRESNO COUNTY PUBLIC LIBRARY
2019,2.62972,FRESNO COUNTY PUBLIC LIBRARY
2010,4.9396,FULLERTON PUBLIC LIBRARY
2011,5.56603,FULLERTON PUBLIC LIBRARY
2012,0.17643,FULLERTON PUBLIC LIBRARY
2013,0.22338,FULLERTON PUBLIC LIBRARY
2014,6.05182,FULLERTON PUBLIC LIBRARY
2015,5.38049,FULLERTON PUBLIC LIBRARY
2016,4.39839,FULLERTON PUBLIC LIBRARY
2017,3.80067,FULLERTON PUBLIC LIBRARY
2018,3.59962,FULLERTON PUBLIC LIBRARY
2019,2.65486,FULLERTON PUBLIC LIBRARY
2010,6.70715,"GLENDALE LIBRARY, ARTS & CULTURE"
2011,6.12478,"GLENDALE LIBRARY, ARTS & CULTURE"
2012,0.12443,"GLENDALE LIBRARY, ARTS & CULTURE"
2013,0.35876,"GLENDALE LIBRARY, ARTS & CULTURE"
2014,0.43527,"GLENDALE LIBRARY, ARTS & CULTURE"
2015,6.76232,"GLENDALE LIBRARY, ARTS & CULTURE"
2016,5.14674,"GLENDALE LIBRARY, ARTS & CULTURE"
2017,4.96325,"GLENDALE LIBRARY, ARTS & CULTURE"
2018,5.72697,"GLENDALE LIBRARY, ARTS & CULTURE"
2019,4.69269,"GLENDALE LIBRARY, ARTS & CULTURE"
2010,8.63585,GLENDORA LIBRARY & CULTURAL CENTER
2011,8.03681,GLENDORA LIBRARY & CULTURAL CENTER
2012,0.17353,GLENDORA LIBRARY & CULTURAL CENTER
2013,0.24071,GLENDORA LIBRARY & CULTURAL CENTER
2014,0.28875,GLENDORA LIBRARY & CULTURAL CENTER
2015,6.36135,GLENDORA LIBRARY & CULTURAL CENTER
2016,5.75758,GLENDORA LIBRARY & CULTURAL CENTER
2017,5.50031,GLENDORA LIBRARY & CULTURAL CENTER
2018,5.16872,GLENDORA LIBRARY & CULTURAL CENTER
2019,3.78971,GLENDORA LIBRARY & CULTURAL CENTER
2010,,GOLETA VALLEY LIBRARY
2011,,GOLETA VALLEY LIBRARY
2012,,GOLETA VALLEY LIBRARY
2013,,GOLETA VALLEY LIBRARY
2014,,GOLETA VALLEY LIBRARY
2015,,GOLETA VALLEY LIBRARY
2016,,GOLETA VALLEY LIBRARY
2017,,GOLETA VALLEY LIBRARY
2018,7.14301,GOLETA VALLEY LIBRARY
2019,6.03787,GOLETA VALLEY LIBRARY
2010,29.25361,HARRISON MEMORIAL LIBRARY
2011,39.93622,HARRISON MEMORIAL LIBRARY
2012,1.06305,HARRISON MEMORIAL LIBRARY
2013,1.10639,HARRISON MEMORIAL LIBRARY
2014,1.76088,HARRISON MEMORIAL LIBRARY
2015,31.76937,HARRISON MEMORIAL LIBRARY
2016,30.53982,HARRISON MEMORIAL LIBRARY
2017,29.9864,HARRISON MEMORIAL LIBRARY
2018,30.25357,HARRISON MEMORIAL LIBRARY
2019,28.3335,HARRISON MEMORIAL LIBRARY
2010,7.75332,HAYWARD PUBLIC LIBRARY
2011,7.63031,HAYWARD PUBLIC LIBRARY
2012,0.06716,HAYWARD PUBLIC LIBRARY
2013,0.20249,HAYWARD PUBLIC LIBRARY
2014,0.07326,HAYWARD PUBLIC LIBRARY
2015,3.50153,HAYWARD PUBLIC LIBRARY
2016,3.68587,HAYWARD PUBLIC LIBRARY
2017,2.78198,HAYWARD PUBLIC LIBRARY
2018,1.00234,HAYWARD PUBLIC LIBRARY
2019,1.92559,HAYWARD PUBLIC LIBRARY
2010,5.38218,HEMET PUBLIC LIBRARY
2011,5.35156,HEMET PUBLIC LIBRARY
2012,0.00533,HEMET PUBLIC LIBRARY
2013,0.00568,HEMET PUBLIC LIBRARY
2014,0.01128,HEMET PUBLIC LIBRARY
2015,4.03531,HEMET PUBLIC LIBRARY
2016,3.73423,HEMET PUBLIC LIBRARY
2017,5.38411,HEMET PUBLIC LIBRARY
2018,6.28683,HEMET PUBLIC LIBRARY
2019,5.65552,HEMET PUBLIC LIBRARY
2010,5.15254,HUMBOLDT COUNTY LIBRARY
2011,5.15542,HUMBOLDT COUNTY LIBRARY
2012,0.04168,HUMBOLDT COUNTY LIBRARY
2013,0.10348,HUMBOLDT COUNTY LIBRARY
2014,0.13471,HUMBOLDT COUNTY LIBRARY
2015,4.46342,HUMBOLDT COUNTY LIBRARY
2016,4.07908,HUMBOLDT COUNTY LIBRARY
2017,3.76511,HUMBOLDT COUNTY LIBRARY
2018,3.95094,HUMBOLDT COUNTY LIBRARY
2019,3.8662,HUMBOLDT COUNTY LIBRARY
2010,5.04655,HUNTINGTON BEACH PUBLIC LIBRARY
2011,4.74827,HUNTINGTON BEACH PUBLIC LIBRARY
2012,0.1007,HUNTINGTON BEACH PUBLIC LIBRARY
2013,0.16354,HUNTINGTON BEACH PUBLIC LIBRARY
2014,0.19326,HUNTINGTON BEACH PUBLIC LIBRARY
2015,4.93129,HUNTINGTON BEACH PUBLIC LIBRARY
2016,5.11631,HUNTINGTON BEACH PUBLIC LIBRARY
2017,4.78891,HUNTINGTON BEACH PUBLIC LIBRARY
2018,5.07484,HUNTINGTON BEACH PUBLIC LIBRARY
2019,4.45325,HUNTINGTON BEACH PUBLIC LIBRARY
2010,0.71549,IMPERIAL COUNTY LIBRARY
2011,0.75992,IMPERIAL COUNTY LIBRARY
2012,,IMPERIAL COUNTY LIBRARY
2013,0.00256,IMPERIAL COUNTY LIBRARY
2014,0.00505,IMPERIAL COUNTY LIBRARY
2015,0.70269,IMPERIAL COUNTY LIBRARY
2016,0.72923,IMPERIAL COUNTY LIBRARY
2017,0.7837,IMPERIAL COUNTY LIBRARY
2018,-2e-05,IMPERIAL COUNTY LIBRARY
2019,0.49114,IMPERIAL COUNTY LIBRARY
2010,2.45324,IMPERIAL PUBLIC LIBRARY
2011,2.64906,IMPERIAL PUBLIC LIBRARY
2012,0.01022,IMPERIAL PUBLIC LIBRARY
2013,0.01275,IMPERIAL PUBLIC LIBRARY
2014,0.01485,IMPERIAL PUBLIC LIBRARY
2015,0.90151,IMPERIAL PUBLIC LIBRARY
2016,1.35508,IMPERIAL PUBLIC LIBRARY
2017,1.31845,IMPERIAL PUBLIC LIBRARY
2018,1.34232,IMPERIAL PUBLIC LIBRARY
2019,0.93771,IMPERIAL PUBLIC LIBRARY
2010,1.92512,INGLEWOOD PUBLIC LIBRARY
2011,1.44732,INGLEWOOD PUBLIC LIBRARY
2012,,INGLEWOOD PUBLIC LIBRARY
2013,-1e-05,INGLEWOOD PUBLIC LIBRARY
2014,,INGLEWOOD PUBLIC LIBRARY
2015,0.71544,INGLEWOOD PUBLIC LIBRARY
2016,0.84393,INGLEWOOD PUBLIC LIBRARY
2017,1.1712,INGLEWOOD PUBLIC LIBRARY
2018,0.74454,INGLEWOOD PUBLIC LIBRARY
2019,-1e-05,INGLEWOOD PUBLIC LIBRARY
2010,4.91719,INYO COUNTY FREE LIBRARY
2011,4.29944,INYO COUNTY FREE LIBRARY
2012,,INYO COUNTY FREE LIBRARY
2013,,INYO COUNTY FREE LIBRARY
2014,,INYO COUNTY FREE LIBRARY
2015,2.44515,INYO COUNTY FREE LIBRARY
2016,2.17675,INYO COUNTY FREE LIBRARY
2017,1.91489,INYO COUNTY FREE LIBRARY
2018,2.43183,INYO COUNTY FREE LIBRARY
2019,1.97363,INYO COUNTY FREE LIBRARY
2010,16.06522,IRWINDALE PUBLIC LIBRARY
2011,14.85523,IRWINDALE PUBLIC LIBRARY
2012,,IRWINDALE PUBLIC LIBRARY
2013,,IRWINDALE PUBLIC LIBRARY
2014,,IRWINDALE PUBLIC LIBRARY
2015,24.12155,IRWINDALE PUBLIC LIBRARY
2016,42.42937,IRWINDALE PUBLIC LIBRARY
2017,40.69034,IRWINDALE PUBLIC LIBRARY
2018,19.34794,IRWINDALE PUBLIC LIBRARY
2019,13.84589,IRWINDALE PUBLIC LIBRARY
2010,1.83505,KERN COUNTY LIBRARY
2011,1.76719,KERN COUNTY LIBRARY
2012,0.03216,KERN COUNTY LIBRARY
2013,0.06161,KERN COUNTY LIBRARY
2014,1.53922,KERN COUNTY LIBRARY
2015,1.08043,KERN COUNTY LIBRARY
2016,1.07845,KERN COUNTY LIBRARY
2017,1.1712,KERN COUNTY LIBRARY
2018,1.13804,KERN COUNTY LIBRARY
2019,0.90491,KERN COUNTY LIBRARY
2010,1.40449,KINGS COUNTY LIBRARY
2011,1.58353,KINGS COUNTY LIBRARY
2012,,KINGS COUNTY LIBRARY
2013,0.06431,KINGS COUNTY LIBRARY
2014,0.01749,KINGS COUNTY LIBRARY
2015,1.41265,KINGS COUNTY LIBRARY
2016,1.59255,KINGS COUNTY LIBRARY
2017,1.37156,KINGS COUNTY LIBRARY
2018,1.36509,KINGS COUNTY LIBRARY
2019,0.98686,KINGS COUNTY LIBRARY
2010,5.12969,LA COUNTY LIBRARY
2011,4.94008,LA COUNTY LIBRARY
2012,0.20498,LA COUNTY LIBRARY
2013,0.28766,LA COUNTY LIBRARY
2014,0.5059,LA COUNTY LIBRARY
2015,2.80566,LA COUNTY LIBRARY
2016,3.43573,LA COUNTY LIBRARY
2017,4.4632,LA COUNTY LIBRARY
2018,4.47375,LA COUNTY LIBRARY
2019,2.80603,LA COUNTY LIBRARY
2010,3.97722,LAKE COUNTY LIBRARY
2011,4.09881,LAKE COUNTY LIBRARY
2012,0.08226,LAKE COUNTY LIBRARY
2013,0.14023,LAKE COUNTY LIBRARY
2014,0.17168,LAKE COUNTY LIBRARY
2015,3.17869,LAKE COUNTY LIBRARY
2016,3.02099,LAKE COUNTY LIBRARY
2017,2.88484,LAKE COUNTY LIBRARY
2018,3.18223,LAKE COUNTY LIBRARY
2019,2.99745,LAKE COUNTY LIBRARY
2010,12.37922,LARKSPUR PUBLIC LIBRARY
2011,11.97562,LARKSPUR PUBLIC LIBRARY
2012,0.3706,LARKSPUR PUBLIC LIBRARY
2013,0.46596,LARKSPUR PUBLIC LIBRARY
2014,0.6076,LARKSPUR PUBLIC LIBRARY
2015,10.04725,LARKSPUR PUBLIC LIBRARY
2016,10.37329,LARKSPUR PUBLIC LIBRARY
2017,10.59817,LARKSPUR PUBLIC LIBRARY
2018,10.12037,LARKSPUR PUBLIC LIBRARY
2019,8.74512,LARKSPUR PUBLIC LIBRARY
2010,1.41681,LASSEN LIBRARY DISTRICT
2011,1.13914,LASSEN LIBRARY DISTRICT
2012,0.01685,LASSEN LIBRARY DISTRICT
2013,0.03979,LASSEN LIBRARY DISTRICT
2014,0.04204,LASSEN LIBRARY DISTRICT
2015,2.04154,LASSEN LIBRARY DISTRICT
2016,1.91566,LASSEN LIBRARY DISTRICT
2017,1.67547,LASSEN LIBRARY DISTRICT
2018,1.76173,LASSEN LIBRARY DISTRICT
2019,1.44572,LASSEN LIBRARY DISTRICT
2010,7.47974,LINCOLN PUBLIC LIBRARY
2011,5.04526,LINCOLN PUBLIC LIBRARY
2012,,LINCOLN PUBLIC LIBRARY
2013,0.0361,LINCOLN PUBLIC LIBRARY
2014,,LINCOLN PUBLIC LIBRARY
2015,0.14941,LINCOLN PUBLIC LIBRARY
2016,4.60621,LINCOLN PUBLIC LIBRARY
2017,4.70515,LINCOLN PUBLIC LIBRARY
2018,4.9588,LINCOLN PUBLIC LIBRARY
2019,3.76091,LINCOLN PUBLIC LIBRARY
2010,12.42112,LIVERMORE PUBLIC LIBRARY
2011,11.4305,LIVERMORE PUBLIC LIBRARY
2012,0.26274,LIVERMORE PUBLIC LIBRARY
2013,0.31914,LIVERMORE PUBLIC LIBRARY
2014,0.42805,LIVERMORE PUBLIC LIBRARY
2015,8.65619,LIVERMORE PUBLIC LIBRARY
2016,8.5033,LIVERMORE PUBLIC LIBRARY
2017,8.23831,LIVERMORE PUBLIC LIBRARY
2018,8.35862,LIVERMORE PUBLIC LIBRARY
2019,5.87924,LIVERMORE PUBLIC LIBRARY
2010,3.97372,LODI PUBLIC LIBRARY
2011,3.46585,LODI PUBLIC LIBRARY
2012,0.00458,LODI PUBLIC LIBRARY
2013,-2e-05,LODI PUBLIC LIBRARY
2014,,LODI PUBLIC LIBRARY
2015,,LODI PUBLIC LIBRARY
2016,3.11132,LODI PUBLIC LIBRARY
2017,2.5258,LODI PUBLIC LIBRARY
2018,2.35006,LODI PUBLIC LIBRARY
2019,2.0315,LODI PUBLIC LIBRARY
2010,5.52353,LOMPOC PUBLIC LIBRARY
2011,5.30816,LOMPOC PUBLIC LIBRARY
2012,0.20399,LOMPOC PUBLIC LIBRARY
2013,0.20221,LOMPOC PUBLIC LIBRARY
2014,0.29336,LOMPOC PUBLIC LIBRARY
2015,5.51707,LOMPOC PUBLIC LIBRARY
2016,5.88365,LOMPOC PUBLIC LIBRARY
2017,5.62919,LOMPOC PUBLIC LIBRARY
2018,5.6287,LOMPOC PUBLIC LIBRARY
2019,4.06846,LOMPOC PUBLIC LIBRARY
2010,3.36653,LONG BEACH PUBLIC LIBRARY
2011,3.34006,LONG BEACH PUBLIC LIBRARY
2012,0.13424,LONG BEACH PUBLIC LIBRARY
2013,0.23439,LONG BEACH PUBLIC LIBRARY
2014,0.26109,LONG BEACH PUBLIC LIBRARY
2015,2.54313,LONG BEACH PUBLIC LIBRARY
2016,2.78197,LONG BEACH PUBLIC LIBRARY
2017,2.7207,LONG BEACH PUBLIC LIBRARY
2018,2.6788,LONG BEACH PUBLIC LIBRARY
2019,2.76402,LONG BEACH PUBLIC LIBRARY
2010,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2011,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2012,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2013,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2014,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2015,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2016,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2017,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2018,2.19631,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2019,3.13937,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2010,3.97488,LOS ANGELES PUBLIC LIBRARY
2011,4.00937,LOS ANGELES PUBLIC LIBRARY
2012,0.39299,LOS ANGELES PUBLIC LIBRARY
2013,0.48287,LOS ANGELES PUBLIC LIBRARY
2014,0.87987,LOS ANGELES PUBLIC LIBRARY
2015,4.05695,LOS ANGELES PUBLIC LIBRARY
2016,4.02723,LOS ANGELES PUBLIC LIBRARY
2017,3.97951,LOS ANGELES PUBLIC LIBRARY
2018,4.2351,LOS ANGELES PUBLIC LIBRARY
2019,3.93783,LOS ANGELES PUBLIC LIBRARY
2010,6.52049,LOS GATOS LIBRARY
2011,18.171,LOS GATOS LIBRARY
2012,0.99266,LOS GATOS LIBRARY
2013,0.50822,LOS GATOS LIBRARY
2014,0.77318,LOS GATOS LIBRARY
2015,17.63577,LOS GATOS LIBRARY
2016,15.62627,LOS GATOS LIBRARY
2017,15.922,LOS GATOS LIBRARY
2018,15.40751,LOS GATOS LIBRARY
2019,10.3878,LOS GATOS LIBRARY
2010,1.5677,MADERA COUNTY LIBRARY
2011,1.51917,MADERA COUNTY LIBRARY
2012,0.04971,MADERA COUNTY LIBRARY
2013,0.04708,MADERA COUNTY LIBRARY
2014,0.04812,MADERA COUNTY LIBRARY
2015,1.28399,MADERA COUNTY LIBRARY
2016,1.20568,MADERA COUNTY LIBRARY
2017,1.01084,MADERA COUNTY LIBRARY
2018,1.13927,MADERA COUNTY LIBRARY
2019,1.04262,MADERA COUNTY LIBRARY
2010,12.584,MARIN COUNTY FREE LIBRARY
2011,14.35465,MARIN COUNTY FREE LIBRARY
2012,0.96375,MARIN COUNTY FREE LIBRARY
2013,1.71746,MARIN COUNTY FREE LIBRARY
2014,1.56711,MARIN COUNTY FREE LIBRARY
2015,13.85027,MARIN COUNTY FREE LIBRARY
2016,12.97177,MARIN COUNTY FREE LIBRARY
2017,13.07824,MARIN COUNTY FREE LIBRARY
2018,11.30499,MARIN COUNTY FREE LIBRARY
2019,8.39144,MARIN COUNTY FREE LIBRARY
2010,9.07563,MARIPOSA COUNTY LIBRARY
2011,8.88903,MARIPOSA COUNTY LIBRARY
2012,,MARIPOSA COUNTY LIBRARY
2013,,MARIPOSA COUNTY LIBRARY
2014,,MARIPOSA COUNTY LIBRARY
2015,7.68996,MARIPOSA COUNTY LIBRARY
2016,7.17809,MARIPOSA COUNTY LIBRARY
2017,6.37024,MARIPOSA COUNTY LIBRARY
2018,6.21884,MARIPOSA COUNTY LIBRARY
2019,-6e-05,MARIPOSA COUNTY LIBRARY
2010,5.03455,MENDOCINO COUNTY LIBRARY
2011,4.78105,MENDOCINO COUNTY LIBRARY
2012,,MENDOCINO COUNTY LIBRARY
2013,,MENDOCINO COUNTY LIBRARY
2014,0.29318,MENDOCINO COUNTY LIBRARY
2015,6.68733,MENDOCINO COUNTY LIBRARY
2016,6.74804,MENDOCINO COUNTY LIBRARY
2017,6.69909,MENDOCINO COUNTY LIBRARY
2018,7.32166,MENDOCINO COUNTY LIBRARY
2019,6.34908,MENDOCINO COUNTY LIBRARY
2010,22.46941,MENLO PARK PUBLIC LIBRARY
2011,19.2129,MENLO PARK PUBLIC LIBRARY
2012,0.27639,MENLO PARK PUBLIC LIBRARY
2013,0.49219,MENLO PARK PUBLIC LIBRARY
2014,0.81318,MENLO PARK PUBLIC LIBRARY
2015,17.3614,MENLO PARK PUBLIC LIBRARY
2016,17.4169,MENLO PARK PUBLIC LIBRARY
2017,16.87022,MENLO PARK PUBLIC LIBRARY
2018,18.86493,MENLO PARK PUBLIC LIBRARY
2019,15.26669,MENLO PARK PUBLIC LIBRARY
2010,1.16442,MERCED COUNTY LIBRARY
2011,0.98965,MERCED COUNTY LIBRARY
2012,,MERCED COUNTY LIBRARY
2013,,MERCED COUNTY LIBRARY
2014,,MERCED COUNTY LIBRARY
2015,0.83568,MERCED COUNTY LIBRARY
2016,0.76007,MERCED COUNTY LIBRARY
2017,0.74461,MERCED COUNTY LIBRARY
2018,0.76503,MERCED COUNTY LIBRARY
2019,0.65911,MERCED COUNTY LIBRARY
2010,25.6651,MILL VALLEY PUBLIC LIBRARY
2011,24.09166,MILL VALLEY PUBLIC LIBRARY
2012,0.37478,MILL VALLEY PUBLIC LIBRARY
2013,0.52746,MILL VALLEY PUBLIC LIBRARY
2014,0.82097,MILL VALLEY PUBLIC LIBRARY
2015,20.18219,MILL VALLEY PUBLIC LIBRARY
2016,19.15714,MILL VALLEY PUBLIC LIBRARY
2017,18.35274,MILL VALLEY PUBLIC LIBRARY
2018,17.86065,MILL VALLEY PUBLIC LIBRARY
2019,14.17698,MILL VALLEY PUBLIC LIBRARY
2010,10.05246,MISSION VIEJO LIBRARY
2011,9.76407,MISSION VIEJO LIBRARY
2012,0.32399,MISSION VIEJO LIBRARY
2013,0.77313,MISSION VIEJO LIBRARY
2014,0.75079,MISSION VIEJO LIBRARY
2015,7.70636,MISSION VIEJO LIBRARY
2016,10.8913,MISSION VIEJO LIBRARY
2017,13.31845,MISSION VIEJO LIBRARY
2018,11.35553,MISSION VIEJO LIBRARY
2019,8.98798,MISSION VIEJO LIBRARY
2010,6.89366,MODOC COUNTY LIBRARY
2011,7.70207,MODOC COUNTY LIBRARY
2012,,MODOC COUNTY LIBRARY
2013,,MODOC COUNTY LIBRARY
2014,,MODOC COUNTY LIBRARY
2015,2.81915,MODOC COUNTY LIBRARY
2016,2.78633,MODOC COUNTY LIBRARY
2017,2.66719,MODOC COUNTY LIBRARY
2018,2.50125,MODOC COUNTY LIBRARY
2019,2.29582,MODOC COUNTY LIBRARY
2010,14.01852,MONO COUNTY FREE LIBRARY
2011,14.47738,MONO COUNTY FREE LIBRARY
2012,0.069,MONO COUNTY FREE LIBRARY
2013,0.07071,MONO COUNTY FREE LIBRARY
2014,0.10657,MONO COUNTY FREE LIBRARY
2015,8.53509,MONO COUNTY FREE LIBRARY
2016,7.18406,MONO COUNTY FREE LIBRARY
2017,6.62162,MONO COUNTY FREE LIBRARY
2018,7.08865,MONO COUNTY FREE LIBRARY
2019,5.77369,MONO COUNTY FREE LIBRARY
2010,5.52437,MONROVIA PUBLIC LIBRARY
2011,5.14115,MONROVIA PUBLIC LIBRARY
2012,0.03668,MONROVIA PUBLIC LIBRARY
2013,0.11905,MONROVIA PUBLIC LIBRARY
2014,0.12445,MONROVIA PUBLIC LIBRARY
2015,4.10669,MONROVIA PUBLIC LIBRARY
2016,5.32126,MONROVIA PUBLIC LIBRARY
2017,5.45355,MONROVIA PUBLIC LIBRARY
2018,6.13167,MONROVIA PUBLIC LIBRARY
2019,4.50152,MONROVIA PUBLIC LIBRARY
2010,3.45757,MONTEREY COUNTY FREE LIBRARIES
2011,3.01741,MONTEREY COUNTY FREE LIBRARIES
2012,0.03314,MONTEREY COUNTY FREE LIBRARIES
2013,0.03317,MONTEREY COUNTY FREE LIBRARIES
2014,0.08587,MONTEREY COUNTY FREE LIBRARIES
2015,1.6806,MONTEREY COUNTY FREE LIBRARIES
2016,2.34118,MONTEREY COUNTY FREE LIBRARIES
2017,2.09975,MONTEREY COUNTY FREE LIBRARIES
2018,2.11787,MONTEREY COUNTY FREE LIBRARIES
2019,1.85914,MONTEREY COUNTY FREE LIBRARIES
2010,5.57766,MONTEREY PARK BRUGGEMEYER LIBRARY
2011,5.26143,MONTEREY PARK BRUGGEMEYER LIBRARY
2012,0.00545,MONTEREY PARK BRUGGEMEYER LIBRARY
2013,0.00769,MONTEREY PARK BRUGGEMEYER LIBRARY
2014,,MONTEREY PARK BRUGGEMEYER LIBRARY
2015,3.96614,MONTEREY PARK BRUGGEMEYER LIBRARY
2016,3.60546,MONTEREY PARK BRUGGEMEYER LIBRARY
2017,3.33719,MONTEREY PARK BRUGGEMEYER LIBRARY
2018,3.10198,MONTEREY PARK BRUGGEMEYER LIBRARY
2019,2.19161,MONTEREY PARK BRUGGEMEYER LIBRARY
2010,17.15893,MONTEREY PUBLIC LIBRARY
2011,17.8831,MONTEREY PUBLIC LIBRARY
2012,0.45636,MONTEREY PUBLIC LIBRARY
2013,0.55135,MONTEREY PUBLIC LIBRARY
2014,0.70862,MONTEREY PUBLIC LIBRARY
2015,15.2776,MONTEREY PUBLIC LIBRARY
2016,15.47437,MONTEREY PUBLIC LIBRARY
2017,16.34587,MONTEREY PUBLIC LIBRARY
2018,16.14419,MONTEREY PUBLIC LIBRARY
2019,11.2525,MONTEREY PUBLIC LIBRARY
2010,3.87139,MOORPARK CITY LIBRARY
2011,3.79929,MOORPARK CITY LIBRARY
2012,,MOORPARK CITY LIBRARY
2013,0.01948,MOORPARK CITY LIBRARY
2014,0.05528,MOORPARK CITY LIBRARY
2015,2.90252,MOORPARK CITY LIBRARY
2016,2.96657,MOORPARK CITY LIBRARY
2017,2.77813,MOORPARK CITY LIBRARY
2018,2.72091,MOORPARK CITY LIBRARY
2019,2.33467,MOORPARK CITY LIBRARY
2010,2.01242,MORENO VALLEY PUBLIC LIBRARY
2011,1.97578,MORENO VALLEY PUBLIC LIBRARY
2012,0.00191,MORENO VALLEY PUBLIC LIBRARY
2013,0.00491,MORENO VALLEY PUBLIC LIBRARY
2014,0.28047,MORENO VALLEY PUBLIC LIBRARY
2015,1.89651,MORENO VALLEY PUBLIC LIBRARY
2016,1.9924,MORENO VALLEY PUBLIC LIBRARY
2017,1.29523,MORENO VALLEY PUBLIC LIBRARY
2018,1.25515,MORENO VALLEY PUBLIC LIBRARY
2019,1.20105,MORENO VALLEY PUBLIC LIBRARY
2010,23.04333,MOUNTAIN VIEW PUBLIC LIBRARY
2011,23.90459,MOUNTAIN VIEW PUBLIC LIBRARY
2012,0.60431,MOUNTAIN VIEW PUBLIC LIBRARY
2013,0.61341,MOUNTAIN VIEW PUBLIC LIBRARY
2014,0.60522,MOUNTAIN VIEW PUBLIC LIBRARY
2015,18.16888,MOUNTAIN VIEW PUBLIC LIBRARY
2016,16.88632,MOUNTAIN VIEW PUBLIC LIBRARY
2017,14.433,MOUNTAIN VIEW PUBLIC LIBRARY
2018,15.24017,MOUNTAIN VIEW PUBLIC LIBRARY
2019,11.67939,MOUNTAIN VIEW PUBLIC LIBRARY
2010,4.27201,MURRIETA PUBLIC LIBRARY
2011,4.25225,MURRIETA PUBLIC LIBRARY
2012,4e-05,MURRIETA PUBLIC LIBRARY
2013,0.00088,MURRIETA PUBLIC LIBRARY
2014,,MURRIETA PUBLIC LIBRARY
