Year,Collection Per Capita,Library
2012,0.00843,SAN LEANDRO PUBLIC LIBRARY
2013,3.67908,SAN LEANDRO PUBLIC LIBRARY
2014,,SAN LEANDRO PUBLIC LIBRARY
2015,3.9707,SAN LEANDRO PUBLIC LIBRARY
2016,3.91455,SAN LEANDRO PUBLIC LIBRARY
2017,4.72395,SAN LEANDRO PUBLIC LIBRARY
2018,4.5535,SAN LEANDRO PUBLIC LIBRARY
2019,4.77263,SAN LEANDRO PUBLIC LIBRARY
2010,1.79413,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2011,1.89325,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2012,1.60661,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2013,1.55113,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2014,1.62553,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2015,2.09691,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2016,1.82356,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2017,2.28962,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2018,2.71401,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2019,2.53943,SAN LUIS OBISPO CITY-COUNTY LIBRARY
2010,2.88266,SAN MATEO COUNTY LIBRARIES
2011,2.78745,SAN MATEO COUNTY LIBRARIES
2012,2.68486,SAN MATEO COUNTY LIBRARIES
2013,2.58046,SAN MATEO COUNTY LIBRARIES
2014,2.5951,SAN MATEO COUNTY LIBRARIES
2015,2.52932,SAN MATEO COUNTY LIBRARIES
2016,9.27357,SAN MATEO COUNTY LIBRARIES
2017,2.77189,SAN MATEO COUNTY LIBRARIES
2018,3.18393,SAN MATEO COUNTY LIBRARIES
2019,3.55014,SAN MATEO COUNTY LIBRARIES
2010,3.25504,SAN MATEO PUBLIC LIBRARY
2011,3.41909,SAN MATEO PUBLIC LIBRARY
2012,3.45044,SAN MATEO PUBLIC LIBRARY
2013,4.50816,SAN MATEO PUBLIC LIBRARY
2014,4.39657,SAN MATEO PUBLIC LIBRARY
2015,5.12681,SAN MATEO PUBLIC LIBRARY
2016,5.63133,SAN MATEO PUBLIC LIBRARY
2017,5.25118,SAN MATEO PUBLIC LIBRARY
2018,6.03057,SAN MATEO PUBLIC LIBRARY
2019,7.33929,SAN MATEO PUBLIC LIBRARY
2010,2.61145,SAN RAFAEL PUBLIC LIBRARY
2011,2.09855,SAN RAFAEL PUBLIC LIBRARY
2012,2.40499,SAN RAFAEL PUBLIC LIBRARY
2013,3.10291,SAN RAFAEL PUBLIC LIBRARY
2014,4.55772,SAN RAFAEL PUBLIC LIBRARY
2015,4.96867,SAN RAFAEL PUBLIC LIBRARY
2016,6.63279,SAN RAFAEL PUBLIC LIBRARY
2017,9.02107,SAN RAFAEL PUBLIC LIBRARY
2018,10.33914,SAN RAFAEL PUBLIC LIBRARY
2019,10.36452,SAN RAFAEL PUBLIC LIBRARY
2010,0.8371,SANTA ANA PUBLIC LIBRARY
2011,0.8531,SANTA ANA PUBLIC LIBRARY
2012,0.93159,SANTA ANA PUBLIC LIBRARY
2013,0.80962,SANTA ANA PUBLIC LIBRARY
2014,0.6012,SANTA ANA PUBLIC LIBRARY
2015,0.60269,SANTA ANA PUBLIC LIBRARY
2016,0.98117,SANTA ANA PUBLIC LIBRARY
2017,0.86163,SANTA ANA PUBLIC LIBRARY
2018,1.15216,SANTA ANA PUBLIC LIBRARY
2019,1.05004,SANTA ANA PUBLIC LIBRARY
2010,1.61071,SANTA BARBARA PUBLIC LIBRARY
2011,1.72788,SANTA BARBARA PUBLIC LIBRARY
2012,1.50843,SANTA BARBARA PUBLIC LIBRARY
2013,1.5076,SANTA BARBARA PUBLIC LIBRARY
2014,1.50316,SANTA BARBARA PUBLIC LIBRARY
2015,1.81081,SANTA BARBARA PUBLIC LIBRARY
2016,1.57758,SANTA BARBARA PUBLIC LIBRARY
2017,2.08443,SANTA BARBARA PUBLIC LIBRARY
2018,2.92814,SANTA BARBARA PUBLIC LIBRARY
2019,3.30492,SANTA BARBARA PUBLIC LIBRARY
2010,3.40338,SANTA CLARA CITY LIBRARY
2011,3.48057,SANTA CLARA CITY LIBRARY
2012,3.63371,SANTA CLARA CITY LIBRARY
2013,3.8954,SANTA CLARA CITY LIBRARY
2014,4.46281,SANTA CLARA CITY LIBRARY
2015,4.2109,SANTA CLARA CITY LIBRARY
2016,5.863,SANTA CLARA CITY LIBRARY
2017,6.30694,SANTA CLARA CITY LIBRARY
2018,6.53165,SANTA CLARA CITY LIBRARY
2019,7.59041,SANTA CLARA CITY LIBRARY
2010,4.3736,SANTA CLARA COUNTY LIBRARY
2011,4.5183,SANTA CLARA COUNTY LIBRARY
2012,4.53238,SANTA CLARA COUNTY LIBRARY
2013,4.50418,SANTA CLARA COUNTY LIBRARY
2014,4.52198,SANTA CLARA COUNTY LIBRARY
2015,4.90595,SANTA CLARA COUNTY LIBRARY
2016,5.12105,SANTA CLARA COUNTY LIBRARY
2017,5.05949,SANTA CLARA COUNTY LIBRARY
2018,4.58611,SANTA CLARA COUNTY LIBRARY
2019,4.83174,SANTA CLARA COUNTY LIBRARY
2010,,SANTA CLARITA PUBLIC LIBRARY
2011,2.00029,SANTA CLARITA PUBLIC LIBRARY
2012,1.99832,SANTA CLARITA PUBLIC LIBRARY
2013,1.83905,SANTA CLARITA PUBLIC LIBRARY
2014,2.28323,SANTA CLARITA PUBLIC LIBRARY
2015,1.83959,SANTA CLARITA PUBLIC LIBRARY
2016,1.69801,SANTA CLARITA PUBLIC LIBRARY
2017,1.63373,SANTA CLARITA PUBLIC LIBRARY
2018,1.48705,SANTA CLARITA PUBLIC LIBRARY
2019,1.28868,SANTA CLARITA PUBLIC LIBRARY
2010,2.21153,SANTA CRUZ PUBLIC LIBRARIES
2011,2.16928,SANTA CRUZ PUBLIC LIBRARIES
2012,2.23791,SANTA CRUZ PUBLIC LIBRARIES
2013,2.3925,SANTA CRUZ PUBLIC LIBRARIES
2014,2.04383,SANTA CRUZ PUBLIC LIBRARIES
2015,5.96609,SANTA CRUZ PUBLIC LIBRARIES
2016,2.32206,SANTA CRUZ PUBLIC LIBRARIES
2017,1.87872,SANTA CRUZ PUBLIC LIBRARIES
2018,1.87074,SANTA CRUZ PUBLIC LIBRARIES
2019,2.30163,SANTA CRUZ PUBLIC LIBRARIES
2010,3.65702,SANTA FE SPRINGS CITY LIBRARY
2011,3.75472,SANTA FE SPRINGS CITY LIBRARY
2012,4.14605,SANTA FE SPRINGS CITY LIBRARY
2013,4.07009,SANTA FE SPRINGS CITY LIBRARY
2014,4.0771,SANTA FE SPRINGS CITY LIBRARY
2015,81.64272,SANTA FE SPRINGS CITY LIBRARY
2016,4.26614,SANTA FE SPRINGS CITY LIBRARY
2017,4.35582,SANTA FE SPRINGS CITY LIBRARY
2018,10.68162,SANTA FE SPRINGS CITY LIBRARY
2019,37.02132,SANTA FE SPRINGS CITY LIBRARY
2010,1.70009,SANTA MARIA PUBLIC LIBRARY
2011,1.69392,SANTA MARIA PUBLIC LIBRARY
2012,1.66856,SANTA MARIA PUBLIC LIBRARY
2013,1.8337,SANTA MARIA PUBLIC LIBRARY
2014,1.98389,SANTA MARIA PUBLIC LIBRARY
2015,2.01857,SANTA MARIA PUBLIC LIBRARY
2016,2.0568,SANTA MARIA PUBLIC LIBRARY
2017,1.92879,SANTA MARIA PUBLIC LIBRARY
2018,2.7471,SANTA MARIA PUBLIC LIBRARY
2019,3.37923,SANTA MARIA PUBLIC LIBRARY
2010,4.5607,SANTA MONICA PUBLIC LIBRARY
2011,4.59352,SANTA MONICA PUBLIC LIBRARY
2012,4.8301,SANTA MONICA PUBLIC LIBRARY
2013,4.87496,SANTA MONICA PUBLIC LIBRARY
2014,4.69695,SANTA MONICA PUBLIC LIBRARY
2015,4.80821,SANTA MONICA PUBLIC LIBRARY
2016,6.89317,SANTA MONICA PUBLIC LIBRARY
2017,7.59014,SANTA MONICA PUBLIC LIBRARY
2018,8.38531,SANTA MONICA PUBLIC LIBRARY
2019,9.30458,SANTA MONICA PUBLIC LIBRARY
2010,9.71599,SAUSALITO PUBLIC LIBRARY
2011,9.18128,SAUSALITO PUBLIC LIBRARY
2012,9.30115,SAUSALITO PUBLIC LIBRARY
2013,12.02258,SAUSALITO PUBLIC LIBRARY
2014,14.87712,SAUSALITO PUBLIC LIBRARY
2015,17.58279,SAUSALITO PUBLIC LIBRARY
2016,18.95564,SAUSALITO PUBLIC LIBRARY
2017,53.40756,SAUSALITO PUBLIC LIBRARY
2018,70.98584,SAUSALITO PUBLIC LIBRARY
2019,73.5444,SAUSALITO PUBLIC LIBRARY
2010,1.10143,SHASTA PUBLIC LIBRARIES
2011,0.9411,SHASTA PUBLIC LIBRARIES
2012,1.2127,SHASTA PUBLIC LIBRARIES
2013,1.37781,SHASTA PUBLIC LIBRARIES
2014,1.11162,SHASTA PUBLIC LIBRARIES
2015,1.17289,SHASTA PUBLIC LIBRARIES
2016,1.19735,SHASTA PUBLIC LIBRARIES
2017,1.15005,SHASTA PUBLIC LIBRARIES
2018,1.09802,SHASTA PUBLIC LIBRARIES
2019,1.94855,SHASTA PUBLIC LIBRARIES
2010,6.37578,SIERRA MADRE PUBLIC LIBRARY
2011,6.71021,SIERRA MADRE PUBLIC LIBRARY
2012,6.39635,SIERRA MADRE PUBLIC LIBRARY
2013,6.35956,SIERRA MADRE PUBLIC LIBRARY
2014,6.21638,SIERRA MADRE PUBLIC LIBRARY
2015,5.7216,SIERRA MADRE PUBLIC LIBRARY
2016,5.24578,SIERRA MADRE PUBLIC LIBRARY
2017,5.86829,SIERRA MADRE PUBLIC LIBRARY
2018,5.93669,SIERRA MADRE PUBLIC LIBRARY
2019,6.50129,SIERRA MADRE PUBLIC LIBRARY
2010,2.72868,SIGNAL HILL PUBLIC LIBRARY
2011,2.49699,SIGNAL HILL PUBLIC LIBRARY
2012,2.578,SIGNAL HILL PUBLIC LIBRARY
2013,2.49759,SIGNAL HILL PUBLIC LIBRARY
2014,2.46137,SIGNAL HILL PUBLIC LIBRARY
2015,1.72364,SIGNAL HILL PUBLIC LIBRARY
2016,1.757,SIGNAL HILL PUBLIC LIBRARY
2017,1.92178,SIGNAL HILL PUBLIC LIBRARY
2018,1.71971,SIGNAL HILL PUBLIC LIBRARY
2019,1.83769,SIGNAL HILL PUBLIC LIBRARY
2010,,SIMI VALLEY PUBLIC LIBRARY
2011,,SIMI VALLEY PUBLIC LIBRARY
2012,,SIMI VALLEY PUBLIC LIBRARY
2013,1.10016,SIMI VALLEY PUBLIC LIBRARY
2014,1.10303,SIMI VALLEY PUBLIC LIBRARY
2015,1.21631,SIMI VALLEY PUBLIC LIBRARY
2016,1.18454,SIMI VALLEY PUBLIC LIBRARY
2017,1.1472,SIMI VALLEY PUBLIC LIBRARY
2018,1.1283,SIMI VALLEY PUBLIC LIBRARY
2019,4.78676,SIMI VALLEY PUBLIC LIBRARY
2010,2.60197,SISKIYOU COUNTY FREE LIBRARY
2011,3.24734,SISKIYOU COUNTY FREE LIBRARY
2012,2.87894,SISKIYOU COUNTY FREE LIBRARY
2013,2.61602,SISKIYOU COUNTY FREE LIBRARY
2014,2.42678,SISKIYOU COUNTY FREE LIBRARY
2015,2.48725,SISKIYOU COUNTY FREE LIBRARY
2016,2.42568,SISKIYOU COUNTY FREE LIBRARY
2017,2.70544,SISKIYOU COUNTY FREE LIBRARY
2018,2.89294,SISKIYOU COUNTY FREE LIBRARY
2019,3.09795,SISKIYOU COUNTY FREE LIBRARY
2010,2.0019,SOLANO COUNTY LIBRARY
2011,2.00127,SOLANO COUNTY LIBRARY
2012,1.91842,SOLANO COUNTY LIBRARY
2013,1.72006,SOLANO COUNTY LIBRARY
2014,1.63856,SOLANO COUNTY LIBRARY
2015,1.60715,SOLANO COUNTY LIBRARY
2016,1.5341,SOLANO COUNTY LIBRARY
2017,1.50003,SOLANO COUNTY LIBRARY
2018,1.54689,SOLANO COUNTY LIBRARY
2019,1.37745,SOLANO COUNTY LIBRARY
2010,1.43089,SONOMA COUNTY LIBRARY
2011,1.5175,SONOMA COUNTY LIBRARY
2012,1.50402,SONOMA COUNTY LIBRARY
2013,1.62964,SONOMA COUNTY LIBRARY
2014,1.84178,SONOMA COUNTY LIBRARY
2015,1.80584,SONOMA COUNTY LIBRARY
2016,1.96075,SONOMA COUNTY LIBRARY
2017,1.90023,SONOMA COUNTY LIBRARY
2018,1.91428,SONOMA COUNTY LIBRARY
2019,2.07325,SONOMA COUNTY LIBRARY
2010,5.22139,SOUTH PASADENA PUBLIC LIBRARY
2011,5.94651,SOUTH PASADENA PUBLIC LIBRARY
2012,6.16108,SOUTH PASADENA PUBLIC LIBRARY
2013,5.39268,SOUTH PASADENA PUBLIC LIBRARY
2014,5.72133,SOUTH PASADENA PUBLIC LIBRARY
2015,5.63097,SOUTH PASADENA PUBLIC LIBRARY
2016,5.8054,SOUTH PASADENA PUBLIC LIBRARY
2017,5.84386,SOUTH PASADENA PUBLIC LIBRARY
2018,5.89899,SOUTH PASADENA PUBLIC LIBRARY
2019,6.05609,SOUTH PASADENA PUBLIC LIBRARY
2010,2.90234,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2011,3.11722,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2012,3.21406,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2013,3.52421,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2014,2.65075,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2015,3.15496,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2016,3.11444,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2017,2.96761,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2018,3.283,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2019,2.56106,SOUTH SAN FRANCISCO PUBLIC LIBRARY
2010,15.74679,ST. HELENA PUBLIC LIBRARY
2011,21.22621,ST. HELENA PUBLIC LIBRARY
2012,15.92228,ST. HELENA PUBLIC LIBRARY
2013,15.72876,ST. HELENA PUBLIC LIBRARY
2014,14.16439,ST. HELENA PUBLIC LIBRARY
2015,12.99634,ST. HELENA PUBLIC LIBRARY
2016,13.14255,ST. HELENA PUBLIC LIBRARY
2017,30.771,ST. HELENA PUBLIC LIBRARY
2018,27.63705,ST. HELENA PUBLIC LIBRARY
2019,32.03474,ST. HELENA PUBLIC LIBRARY
2010,1.59998,STANISLAUS COUNTY FREE LIBRARY
2011,1.47562,STANISLAUS COUNTY FREE LIBRARY
2012,1.42873,STANISLAUS COUNTY FREE LIBRARY
2013,1.36111,STANISLAUS COUNTY FREE LIBRARY
2014,1.39946,STANISLAUS COUNTY FREE LIBRARY
2015,1.37171,STANISLAUS COUNTY FREE LIBRARY
2016,1.53516,STANISLAUS COUNTY FREE LIBRARY
2017,1.78377,STANISLAUS COUNTY FREE LIBRARY
2018,1.73585,STANISLAUS COUNTY FREE LIBRARY
2019,1.93221,STANISLAUS COUNTY FREE LIBRARY
2010,1.51994,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2011,1.28459,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2012,1.29218,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2013,1.18992,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2014,1.17784,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2015,1.14916,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2016,1.16569,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2017,1.11238,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2018,1.29854,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2019,0.87583,STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY
2010,2.11782,SUNNYVALE PUBLIC LIBRARY
2011,2.14448,SUNNYVALE PUBLIC LIBRARY
2012,2.2102,SUNNYVALE PUBLIC LIBRARY
2013,2.28578,SUNNYVALE PUBLIC LIBRARY
2014,2.308,SUNNYVALE PUBLIC LIBRARY
2015,2.46109,SUNNYVALE PUBLIC LIBRARY
2016,4.06904,SUNNYVALE PUBLIC LIBRARY
2017,4.50475,SUNNYVALE PUBLIC LIBRARY
2018,4.57944,SUNNYVALE PUBLIC LIBRARY
2019,5.25591,SUNNYVALE PUBLIC LIBRARY
2010,1.25533,SUTTER COUNTY LIBRARY
2011,1.25521,SUTTER COUNTY LIBRARY
2012,0.96639,SUTTER COUNTY LIBRARY
2013,1.3273,SUTTER COUNTY LIBRARY
2014,1.258,SUTTER COUNTY LIBRARY
2015,1.26642,SUTTER COUNTY LIBRARY
2016,1.27671,SUTTER COUNTY LIBRARY
2017,1.41435,SUTTER COUNTY LIBRARY
2018,1.20221,SUTTER COUNTY LIBRARY
2019,1.15637,SUTTER COUNTY LIBRARY
2010,2.03972,TEHAMA COUNTY LIBRARY
2011,2.2367,TEHAMA COUNTY LIBRARY
2012,2.26576,TEHAMA COUNTY LIBRARY
2013,2.21213,TEHAMA COUNTY LIBRARY
2014,2.24839,TEHAMA COUNTY LIBRARY
2015,1.89932,TEHAMA COUNTY LIBRARY
2016,3.68971,TEHAMA COUNTY LIBRARY
2017,2.61019,TEHAMA COUNTY LIBRARY
2018,2.76338,TEHAMA COUNTY LIBRARY
2019,2.08873,TEHAMA COUNTY LIBRARY
2010,3.50178,THOUSAND OAKS LIBRARY
2011,3.51217,THOUSAND OAKS LIBRARY
2012,3.5742,THOUSAND OAKS LIBRARY
2013,3.56911,THOUSAND OAKS LIBRARY
2014,3.44611,THOUSAND OAKS LIBRARY
2015,3.78834,THOUSAND OAKS LIBRARY
2016,3.14701,THOUSAND OAKS LIBRARY
2017,3.32952,THOUSAND OAKS LIBRARY
2018,3.05601,THOUSAND OAKS LIBRARY
2019,3.4199,THOUSAND OAKS LIBRARY
2010,4.03342,TORRANCE PUBLIC LIBRARY
2011,3.25986,TORRANCE PUBLIC LIBRARY
2012,2.97411,TORRANCE PUBLIC LIBRARY
2013,3.02552,TORRANCE PUBLIC LIBRARY
2014,2.99639,TORRANCE PUBLIC LIBRARY
2015,3.08218,TORRANCE PUBLIC LIBRARY
2016,3.00202,TORRANCE PUBLIC LIBRARY
2017,2.9541,TORRANCE PUBLIC LIBRARY
2018,3.19044,TORRANCE PUBLIC LIBRARY
2019,3.54766,TORRANCE PUBLIC LIBRARY
2010,3.48877,TRINITY COUNTY FREE LIBRARY
2011,3.14757,TRINITY COUNTY FREE LIBRARY
2012,3.10511,TRINITY COUNTY FREE LIBRARY
2013,3.36866,TRINITY COUNTY FREE LIBRARY
2014,3.39091,TRINITY COUNTY FREE LIBRARY
2015,3.47809,TRINITY COUNTY FREE LIBRARY
2016,3.52194,TRINITY COUNTY FREE LIBRARY
2017,4.02281,TRINITY COUNTY FREE LIBRARY
2018,5.33613,TRINITY COUNTY FREE LIBRARY
2019,5.48804,TRINITY COUNTY FREE LIBRARY
2010,0.8954,TULARE COUNTY FREE LIBRARY
2011,0.97372,TULARE COUNTY FREE LIBRARY
2012,0.81672,TULARE COUNTY FREE LIBRARY
2013,0.83964,TULARE COUNTY FREE LIBRARY
2014,0.85235,TULARE COUNTY FREE LIBRARY
2015,0.99423,TULARE COUNTY FREE LIBRARY
2016,0.92876,TULARE COUNTY FREE LIBRARY
2017,0.82659,TULARE COUNTY FREE LIBRARY
2018,0.82402,TULARE COUNTY FREE LIBRARY
2019,0.87662,TULARE COUNTY FREE LIBRARY
2010,1.58028,TULARE PUBLIC LIBRARY
2011,1.8104,TULARE PUBLIC LIBRARY
2012,1.82782,TULARE PUBLIC LIBRARY
2013,1.92028,TULARE PUBLIC LIBRARY
2014,2.02934,TULARE PUBLIC LIBRARY
2015,1.93754,TULARE PUBLIC LIBRARY
2016,1.97266,TULARE PUBLIC LIBRARY
2017,1.60036,TULARE PUBLIC LIBRARY
2018,1.67351,TULARE PUBLIC LIBRARY
2019,1.57252,TULARE PUBLIC LIBRARY
2010,1.48045,TUOLUMNE COUNTY LIBRARY
2011,1.51378,TUOLUMNE COUNTY LIBRARY
2012,1.54604,TUOLUMNE COUNTY LIBRARY
2013,1.43989,TUOLUMNE COUNTY LIBRARY
2014,1.41129,TUOLUMNE COUNTY LIBRARY
2015,1.56579,TUOLUMNE COUNTY LIBRARY
2016,1.59287,TUOLUMNE COUNTY LIBRARY
2017,1.3945,TUOLUMNE COUNTY LIBRARY
2018,1.58536,TUOLUMNE COUNTY LIBRARY
2019,1.60837,TUOLUMNE COUNTY LIBRARY
2010,2.19505,UPLAND PUBLIC LIBRARY
2011,2.28793,UPLAND PUBLIC LIBRARY
2012,2.27087,UPLAND PUBLIC LIBRARY
2013,1.74853,UPLAND PUBLIC LIBRARY
2014,1.76455,UPLAND PUBLIC LIBRARY
2015,1.28737,UPLAND PUBLIC LIBRARY
2016,1.46518,UPLAND PUBLIC LIBRARY
2017,1.26233,UPLAND PUBLIC LIBRARY
2018,1.24217,UPLAND PUBLIC LIBRARY
2019,1.26318,UPLAND PUBLIC LIBRARY
2010,1.86768,VENTURA COUNTY LIBRARY
2011,1.88861,VENTURA COUNTY LIBRARY
2012,1.26117,VENTURA COUNTY LIBRARY
2013,1.86611,VENTURA COUNTY LIBRARY
2014,2.39303,VENTURA COUNTY LIBRARY
2015,2.05497,VENTURA COUNTY LIBRARY
2016,2.3576,VENTURA COUNTY LIBRARY
2017,1.93151,VENTURA COUNTY LIBRARY
2018,2.03844,VENTURA COUNTY LIBRARY
2019,1.91291,VENTURA COUNTY LIBRARY
2010,,VICTORVILLE CITY LIBRARY
2011,0.71269,VICTORVILLE CITY LIBRARY
2012,0.71982,VICTORVILLE CITY LIBRARY
2013,0.65578,VICTORVILLE CITY LIBRARY
2014,0.61421,VICTORVILLE CITY LIBRARY
2015,0.59578,VICTORVILLE CITY LIBRARY
2016,0.61195,VICTORVILLE CITY LIBRARY
2017,0.63099,VICTORVILLE CITY LIBRARY
2018,0.65824,VICTORVILLE CITY LIBRARY
2019,0.4144,VICTORVILLE CITY LIBRARY
2010,2.07921,WATSONVILLE PUBLIC LIBRARY
2011,2.08505,WATSONVILLE PUBLIC LIBRARY
2012,2.15124,WATSONVILLE PUBLIC LIBRARY
2013,2.1638,WATSONVILLE PUBLIC LIBRARY
2014,2.52139,WATSONVILLE PUBLIC LIBRARY
2015,2.60854,WATSONVILLE PUBLIC LIBRARY
2016,2.70295,WATSONVILLE PUBLIC LIBRARY
2017,2.73077,WATSONVILLE PUBLIC LIBRARY
2018,2.81573,WATSONVILLE PUBLIC LIBRARY
2019,2.2726,WATSONVILLE PUBLIC LIBRARY
2010,3.49399,WHITTIER PUBLIC LIBRARY
2011,3.4624,WHITTIER PUBLIC LIBRARY
2012,3.4352,WHITTIER PUBLIC LIBRARY
2013,3.72127,WHITTIER PUBLIC LIBRARY
2014,3.30476,WHITTIER PUBLIC LIBRARY
2015,3.31312,WHITTIER PUBLIC LIBRARY
2016,3.3721,WHITTIER PUBLIC LIBRARY
2017,3.38896,WHITTIER PUBLIC LIBRARY
2018,3.33911,WHITTIER PUBLIC LIBRARY
2019,3.07245,WHITTIER PUBLIC LIBRARY
2010,4.08292,WILLOWS PUBLIC LIBRARY
2011,4.12612,WILLOWS PUBLIC LIBRARY
2012,4.34243,WILLOWS PUBLIC LIBRARY
2013,4.5557,WILLOWS PUBLIC LIBRARY
2014,4.61291,WILLOWS PUBLIC LIBRARY
2015,4.55282,WILLOWS PUBLIC LIBRARY
2016,4.54239,WILLOWS PUBLIC LIBRARY
2017,5.20826,WILLOWS PUBLIC LIBRARY
2018,5.95458,WILLOWS PUBLIC LIBRARY
2019,6.61944,WILLOWS PUBLIC LIBRARY
2010,1.99049,WOODLAND PUBLIC LIBRARY
2011,1.99405,WOODLAND PUBLIC LIBRARY
2012,1.8497,WOODLAND PUBLIC LIBRARY
2013,1.84389,WOODLAND PUBLIC LIBRARY
2014,1.82371,WOODLAND PUBLIC LIBRARY
2015,1.79202,WOODLAND PUBLIC LIBRARY
2016,1.75661,WOODLAND PUBLIC LIBRARY
2017,2.06946,WOODLAND PUBLIC LIBRARY
2018,2.13078,WOODLAND PUBLIC LIBRARY
2019,2.20883,WOODLAND PUBLIC LIBRARY
2010,2.55957,YOLO COUNTY LIBRARY
2011,2.66501,YOLO COUNTY LIBRARY
2012,2.69522,YOLO COUNTY LIBRARY
2013,2.72742,YOLO COUNTY LIBRARY
2014,2.75389,YOLO COUNTY LIBRARY
2015,2.69992,YOLO COUNTY LIBRARY
2016,2.65378,YOLO COUNTY LIBRARY
2017,2.46038,YOLO COUNTY LIBRARY
2018,2.21159,YOLO COUNTY LIBRARY
2019,2.17698,YOLO COUNTY LIBRARY
2010,2.50858,YORBA LINDA PUBLIC LIBRARY
2011,2.74546,YORBA LINDA PUBLIC LIBRARY
2012,2.77079,YORBA LINDA PUBLIC LIBRARY
2013,3.14321,YORBA LINDA PUBLIC LIBRARY
2014,3.2341,YORBA LINDA PUBLIC LIBRARY
2015,2.45678,YORBA LINDA PUBLIC LIBRARY
2016,2.37964,YORBA LINDA PUBLIC LIBRARY
2017,2.37961,YORBA LINDA PUBLIC LIBRARY
2018,2.13169,YORBA LINDA PUBLIC LIBRARY
2019,1.70414,YORBA LINDA PUBLIC LIBRARY
2010,2.05011,YUBA COUNTY LIBRARY
2011,1.92875,YUBA COUNTY LIBRARY
2012,1.74722,YUBA COUNTY LIBRARY
2013,1.76484,YUBA COUNTY LIBRARY
2014,1.77994,YUBA COUNTY LIBRARY
2015,1.48097,YUBA COUNTY LIBRARY
2016,1.50453,YUBA COUNTY LIBRARY
2017,1.29759,YUBA COUNTY LIBRARY
2018,1.34736,YUBA COUNTY LIBRARY
2019,1.07696,YUBA COUNTY LIBRARY
