Year,Visits Per Capita,Library
2017,2.6924,ESCONDIDO PUBLIC LIBRARY
2018,2.59374,ESCONDIDO PUBLIC LIBRARY
2019,1.53423,ESCONDIDO PUBLIC LIBRARY
2010,3.07072,FOLSOM PUBLIC LIBRARY
2011,3.39399,FOLSOM PUBLIC LIBRARY
2012,3.50788,FOLSOM PUBLIC LIBRARY
2013,3.48006,FOLSOM PUBLIC LIBRARY
2014,3.48552,FOLSOM PUBLIC LIBRARY
2015,3.42472,FOLSOM PUBLIC LIBRARY
2016,3.26516,FOLSOM PUBLIC LIBRARY
2017,3.54135,FOLSOM PUBLIC LIBRARY
2018,3.45494,FOLSOM PUBLIC LIBRARY
2019,2.38604,FOLSOM PUBLIC LIBRARY
2010,3.28326,FRESNO COUNTY PUBLIC LIBRARY
2011,3.86894,FRESNO COUNTY PUBLIC LIBRARY
2012,3.4296,FRESNO COUNTY PUBLIC LIBRARY
2013,4.17924,FRESNO COUNTY PUBLIC LIBRARY
2014,3.63562,FRESNO COUNTY PUBLIC LIBRARY
2015,2.9265,FRESNO COUNTY PUBLIC LIBRARY
2016,2.89267,FRESNO COUNTY PUBLIC LIBRARY
2017,2.87746,FRESNO COUNTY PUBLIC LIBRARY
2018,2.67725,FRESNO COUNTY PUBLIC LIBRARY
2019,1.69859,FRESNO COUNTY PUBLIC LIBRARY
2010,,FULLERTON PUBLIC LIBRARY
2011,3.28539,FULLERTON PUBLIC LIBRARY
2012,3.69477,FULLERTON PUBLIC LIBRARY
2013,3.5561,FULLERTON PUBLIC LIBRARY
2014,3.3903,FULLERTON PUBLIC LIBRARY
2015,3.40449,FULLERTON PUBLIC LIBRARY
2016,3.03631,FULLERTON PUBLIC LIBRARY
2017,3.90733,FULLERTON PUBLIC LIBRARY
2018,3.80143,FULLERTON PUBLIC LIBRARY
2019,2.54179,FULLERTON PUBLIC LIBRARY
2010,4.59077,"GLENDALE LIBRARY, ARTS & CULTURE"
2011,5.04965,"GLENDALE LIBRARY, ARTS & CULTURE"
2012,4.62502,"GLENDALE LIBRARY, ARTS & CULTURE"
2013,3.7403,"GLENDALE LIBRARY, ARTS & CULTURE"
2014,3.68948,"GLENDALE LIBRARY, ARTS & CULTURE"
2015,3.06363,"GLENDALE LIBRARY, ARTS & CULTURE"
2016,3.10092,"GLENDALE LIBRARY, ARTS & CULTURE"
2017,4.51891,"GLENDALE LIBRARY, ARTS & CULTURE"
2018,4.81833,"GLENDALE LIBRARY, ARTS & CULTURE"
2019,3.25114,"GLENDALE LIBRARY, ARTS & CULTURE"
2010,5.26172,GLENDORA LIBRARY & CULTURAL CENTER
2011,5.02589,GLENDORA LIBRARY & CULTURAL CENTER
2012,5.2599,GLENDORA LIBRARY & CULTURAL CENTER
2013,5.44028,GLENDORA LIBRARY & CULTURAL CENTER
2014,5.40687,GLENDORA LIBRARY & CULTURAL CENTER
2015,5.86028,GLENDORA LIBRARY & CULTURAL CENTER
2016,5.63009,GLENDORA LIBRARY & CULTURAL CENTER
2017,5.4369,GLENDORA LIBRARY & CULTURAL CENTER
2018,5.14042,GLENDORA LIBRARY & CULTURAL CENTER
2019,3.2555,GLENDORA LIBRARY & CULTURAL CENTER
2010,,GOLETA VALLEY LIBRARY
2011,,GOLETA VALLEY LIBRARY
2012,,GOLETA VALLEY LIBRARY
2013,,GOLETA VALLEY LIBRARY
2014,,GOLETA VALLEY LIBRARY
2015,,GOLETA VALLEY LIBRARY
2016,,GOLETA VALLEY LIBRARY
2017,,GOLETA VALLEY LIBRARY
2018,2.74486,GOLETA VALLEY LIBRARY
2019,2.60625,GOLETA VALLEY LIBRARY
2010,26.24452,HARRISON MEMORIAL LIBRARY
2011,29.7975,HARRISON MEMORIAL LIBRARY
2012,25.02411,HARRISON MEMORIAL LIBRARY
2013,34.28721,HARRISON MEMORIAL LIBRARY
2014,25.73819,HARRISON MEMORIAL LIBRARY
2015,22.75215,HARRISON MEMORIAL LIBRARY
2016,22.02655,HARRISON MEMORIAL LIBRARY
2017,21.99467,HARRISON MEMORIAL LIBRARY
2018,22.22398,HARRISON MEMORIAL LIBRARY
2019,16.34363,HARRISON MEMORIAL LIBRARY
2010,4.20479,HAYWARD PUBLIC LIBRARY
2011,4.14802,HAYWARD PUBLIC LIBRARY
2012,3.82389,HAYWARD PUBLIC LIBRARY
2013,3.39564,HAYWARD PUBLIC LIBRARY
2014,3.36704,HAYWARD PUBLIC LIBRARY
2015,2.692,HAYWARD PUBLIC LIBRARY
2016,2.35135,HAYWARD PUBLIC LIBRARY
2017,1.84145,HAYWARD PUBLIC LIBRARY
2018,1.03725,HAYWARD PUBLIC LIBRARY
2019,1.97071,HAYWARD PUBLIC LIBRARY
2010,4.22827,HEMET PUBLIC LIBRARY
2011,3.55249,HEMET PUBLIC LIBRARY
2012,3.5597,HEMET PUBLIC LIBRARY
2013,3.13634,HEMET PUBLIC LIBRARY
2014,3.58141,HEMET PUBLIC LIBRARY
2015,3.74511,HEMET PUBLIC LIBRARY
2016,3.6873,HEMET PUBLIC LIBRARY
2017,3.85007,HEMET PUBLIC LIBRARY
2018,4.5275,HEMET PUBLIC LIBRARY
2019,3.01141,HEMET PUBLIC LIBRARY
2010,2.626,HUMBOLDT COUNTY LIBRARY
2011,2.74172,HUMBOLDT COUNTY LIBRARY
2012,2.92061,HUMBOLDT COUNTY LIBRARY
2013,2.83297,HUMBOLDT COUNTY LIBRARY
2014,2.33117,HUMBOLDT COUNTY LIBRARY
2015,2.70619,HUMBOLDT COUNTY LIBRARY
2016,2.77941,HUMBOLDT COUNTY LIBRARY
2017,2.10694,HUMBOLDT COUNTY LIBRARY
2018,2.03012,HUMBOLDT COUNTY LIBRARY
2019,1.49198,HUMBOLDT COUNTY LIBRARY
2010,3.05251,HUNTINGTON BEACH PUBLIC LIBRARY
2011,3.81068,HUNTINGTON BEACH PUBLIC LIBRARY
2012,3.91194,HUNTINGTON BEACH PUBLIC LIBRARY
2013,3.6214,HUNTINGTON BEACH PUBLIC LIBRARY
2014,3.74064,HUNTINGTON BEACH PUBLIC LIBRARY
2015,4.25611,HUNTINGTON BEACH PUBLIC LIBRARY
2016,4.17489,HUNTINGTON BEACH PUBLIC LIBRARY
2017,4.07741,HUNTINGTON BEACH PUBLIC LIBRARY
2018,3.89203,HUNTINGTON BEACH PUBLIC LIBRARY
2019,2.63964,HUNTINGTON BEACH PUBLIC LIBRARY
2010,0.80286,IMPERIAL COUNTY LIBRARY
2011,0.83119,IMPERIAL COUNTY LIBRARY
2012,0.84175,IMPERIAL COUNTY LIBRARY
2013,0.83317,IMPERIAL COUNTY LIBRARY
2014,0.77401,IMPERIAL COUNTY LIBRARY
2015,0.80822,IMPERIAL COUNTY LIBRARY
2016,0.7414,IMPERIAL COUNTY LIBRARY
2017,0.68459,IMPERIAL COUNTY LIBRARY
2018,0.72006,IMPERIAL COUNTY LIBRARY
2019,0.58303,IMPERIAL COUNTY LIBRARY
2010,1.93545,IMPERIAL PUBLIC LIBRARY
2011,2.14727,IMPERIAL PUBLIC LIBRARY
2012,1.82908,IMPERIAL PUBLIC LIBRARY
2013,1.54339,IMPERIAL PUBLIC LIBRARY
2014,1.86232,IMPERIAL PUBLIC LIBRARY
2015,0.82659,IMPERIAL PUBLIC LIBRARY
2016,1.41441,IMPERIAL PUBLIC LIBRARY
2017,1.36419,IMPERIAL PUBLIC LIBRARY
2018,1.17417,IMPERIAL PUBLIC LIBRARY
2019,0.47159,IMPERIAL PUBLIC LIBRARY
2010,2.19639,INGLEWOOD PUBLIC LIBRARY
2011,1.67454,INGLEWOOD PUBLIC LIBRARY
2012,1.82575,INGLEWOOD PUBLIC LIBRARY
2013,1.7611,INGLEWOOD PUBLIC LIBRARY
2014,,INGLEWOOD PUBLIC LIBRARY
2015,,INGLEWOOD PUBLIC LIBRARY
2016,1.0879,INGLEWOOD PUBLIC LIBRARY
2017,1.84926,INGLEWOOD PUBLIC LIBRARY
2018,1.5993,INGLEWOOD PUBLIC LIBRARY
2019,1.09309,INGLEWOOD PUBLIC LIBRARY
2010,,INYO COUNTY FREE LIBRARY
2011,,INYO COUNTY FREE LIBRARY
2012,,INYO COUNTY FREE LIBRARY
2013,,INYO COUNTY FREE LIBRARY
2014,2.27199,INYO COUNTY FREE LIBRARY
2015,2.19571,INYO COUNTY FREE LIBRARY
2016,,INYO COUNTY FREE LIBRARY
2017,2.28411,INYO COUNTY FREE LIBRARY
2018,2.38095,INYO COUNTY FREE LIBRARY
2019,1.49699,INYO COUNTY FREE LIBRARY
2010,21.02314,IRWINDALE PUBLIC LIBRARY
2011,20.89689,IRWINDALE PUBLIC LIBRARY
2012,20.06121,IRWINDALE PUBLIC LIBRARY
2013,13.81173,IRWINDALE PUBLIC LIBRARY
2014,12.96945,IRWINDALE PUBLIC LIBRARY
2015,12.85088,IRWINDALE PUBLIC LIBRARY
2016,14.4624,IRWINDALE PUBLIC LIBRARY
2017,15.68276,IRWINDALE PUBLIC LIBRARY
2018,14.5664,IRWINDALE PUBLIC LIBRARY
2019,11.93236,IRWINDALE PUBLIC LIBRARY
2010,1.0958,KERN COUNTY LIBRARY
2011,0.97287,KERN COUNTY LIBRARY
2012,0.96941,KERN COUNTY LIBRARY
2013,1.05082,KERN COUNTY LIBRARY
2014,1.21229,KERN COUNTY LIBRARY
2015,1.00453,KERN COUNTY LIBRARY
2016,1.23447,KERN COUNTY LIBRARY
2017,1.13702,KERN COUNTY LIBRARY
2018,1.19307,KERN COUNTY LIBRARY
2019,0.7307,KERN COUNTY LIBRARY
2010,1.26406,KINGS COUNTY LIBRARY
2011,1.79787,KINGS COUNTY LIBRARY
2012,3.05841,KINGS COUNTY LIBRARY
2013,3.06482,KINGS COUNTY LIBRARY
2014,1.43525,KINGS COUNTY LIBRARY
2015,1.37981,KINGS COUNTY LIBRARY
2016,1.10524,KINGS COUNTY LIBRARY
2017,1.04221,KINGS COUNTY LIBRARY
2018,0.89142,KINGS COUNTY LIBRARY
2019,0.62627,KINGS COUNTY LIBRARY
2010,3.71076,LA COUNTY LIBRARY
2011,3.53825,LA COUNTY LIBRARY
2012,3.53072,LA COUNTY LIBRARY
2013,3.27028,LA COUNTY LIBRARY
2014,3.26923,LA COUNTY LIBRARY
2015,3.16828,LA COUNTY LIBRARY
2016,2.91817,LA COUNTY LIBRARY
2017,3.03287,LA COUNTY LIBRARY
2018,2.88382,LA COUNTY LIBRARY
2019,2.16169,LA COUNTY LIBRARY
2010,4.57272,LAKE COUNTY LIBRARY
2011,4.91637,LAKE COUNTY LIBRARY
2012,5.05889,LAKE COUNTY LIBRARY
2013,5.24187,LAKE COUNTY LIBRARY
2014,5.27706,LAKE COUNTY LIBRARY
2015,4.41514,LAKE COUNTY LIBRARY
2016,,LAKE COUNTY LIBRARY
2017,,LAKE COUNTY LIBRARY
2018,,LAKE COUNTY LIBRARY
2019,,LAKE COUNTY LIBRARY
2010,,LARKSPUR PUBLIC LIBRARY
2011,,LARKSPUR PUBLIC LIBRARY
2012,,LARKSPUR PUBLIC LIBRARY
2013,,LARKSPUR PUBLIC LIBRARY
2014,,LARKSPUR PUBLIC LIBRARY
2015,,LARKSPUR PUBLIC LIBRARY
2016,-8e-05,LARKSPUR PUBLIC LIBRARY
2017,,LARKSPUR PUBLIC LIBRARY
2018,,LARKSPUR PUBLIC LIBRARY
2019,,LARKSPUR PUBLIC LIBRARY
2010,1.58209,LASSEN LIBRARY DISTRICT
2011,1.25323,LASSEN LIBRARY DISTRICT
2012,1.22985,LASSEN LIBRARY DISTRICT
2013,2.57914,LASSEN LIBRARY DISTRICT
2014,2.50822,LASSEN LIBRARY DISTRICT
2015,2.48549,LASSEN LIBRARY DISTRICT
2016,2.44304,LASSEN LIBRARY DISTRICT
2017,2.44844,LASSEN LIBRARY DISTRICT
2018,2.1953,LASSEN LIBRARY DISTRICT
2019,1.70518,LASSEN LIBRARY DISTRICT
2010,5.90293,LINCOLN PUBLIC LIBRARY
2011,4.56722,LINCOLN PUBLIC LIBRARY
2012,4.37809,LINCOLN PUBLIC LIBRARY
2013,3.76961,LINCOLN PUBLIC LIBRARY
2014,,LINCOLN PUBLIC LIBRARY
2015,4.31796,LINCOLN PUBLIC LIBRARY
2016,4.71201,LINCOLN PUBLIC LIBRARY
2017,4.90445,LINCOLN PUBLIC LIBRARY
2018,4.58999,LINCOLN PUBLIC LIBRARY
2019,3.14557,LINCOLN PUBLIC LIBRARY
2010,6.38665,LIVERMORE PUBLIC LIBRARY
2011,6.08854,LIVERMORE PUBLIC LIBRARY
2012,5.18794,LIVERMORE PUBLIC LIBRARY
2013,4.6443,LIVERMORE PUBLIC LIBRARY
2014,4.49633,LIVERMORE PUBLIC LIBRARY
2015,4.229,LIVERMORE PUBLIC LIBRARY
2016,4.26372,LIVERMORE PUBLIC LIBRARY
2017,4.31504,LIVERMORE PUBLIC LIBRARY
2018,4.22203,LIVERMORE PUBLIC LIBRARY
2019,3.21419,LIVERMORE PUBLIC LIBRARY
2010,3.36592,LODI PUBLIC LIBRARY
2011,3.53598,LODI PUBLIC LIBRARY
2012,3.61929,LODI PUBLIC LIBRARY
2013,3.96878,LODI PUBLIC LIBRARY
2014,,LODI PUBLIC LIBRARY
2015,,LODI PUBLIC LIBRARY
2016,3.94318,LODI PUBLIC LIBRARY
2017,3.36047,LODI PUBLIC LIBRARY
2018,2.90699,LODI PUBLIC LIBRARY
2019,2.75283,LODI PUBLIC LIBRARY
2010,4.58659,LOMPOC PUBLIC LIBRARY
2011,4.07517,LOMPOC PUBLIC LIBRARY
2012,3.65091,LOMPOC PUBLIC LIBRARY
2013,3.87012,LOMPOC PUBLIC LIBRARY
2014,4.70237,LOMPOC PUBLIC LIBRARY
2015,3.763,LOMPOC PUBLIC LIBRARY
2016,4.14363,LOMPOC PUBLIC LIBRARY
2017,3.3875,LOMPOC PUBLIC LIBRARY
2018,3.087,LOMPOC PUBLIC LIBRARY
2019,2.06528,LOMPOC PUBLIC LIBRARY
2010,2.95197,LONG BEACH PUBLIC LIBRARY
2011,2.84803,LONG BEACH PUBLIC LIBRARY
2012,2.62955,LONG BEACH PUBLIC LIBRARY
2013,2.69442,LONG BEACH PUBLIC LIBRARY
2014,2.86134,LONG BEACH PUBLIC LIBRARY
2015,2.6033,LONG BEACH PUBLIC LIBRARY
2016,2.18916,LONG BEACH PUBLIC LIBRARY
2017,1.97898,LONG BEACH PUBLIC LIBRARY
2018,1.79877,LONG BEACH PUBLIC LIBRARY
2019,1.54056,LONG BEACH PUBLIC LIBRARY
2010,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2011,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2012,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2013,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2014,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2015,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2016,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2017,,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2018,3.18441,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2019,2.13023,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER
2010,3.2923,LOS ANGELES PUBLIC LIBRARY
2011,3.61313,LOS ANGELES PUBLIC LIBRARY
2012,3.64838,LOS ANGELES PUBLIC LIBRARY
2013,3.73456,LOS ANGELES PUBLIC LIBRARY
2014,3.56164,LOS ANGELES PUBLIC LIBRARY
2015,3.35019,LOS ANGELES PUBLIC LIBRARY
2016,3.25252,LOS ANGELES PUBLIC LIBRARY
2017,2.76684,LOS ANGELES PUBLIC LIBRARY
2018,2.52819,LOS ANGELES PUBLIC LIBRARY
2019,1.65644,LOS ANGELES PUBLIC LIBRARY
2010,7.47853,LOS GATOS LIBRARY
2011,9.36648,LOS GATOS LIBRARY
2012,11.63603,LOS GATOS LIBRARY
2013,12.0674,LOS GATOS LIBRARY
2014,10.01059,LOS GATOS LIBRARY
2015,10.32569,LOS GATOS LIBRARY
2016,9.7048,LOS GATOS LIBRARY
2017,9.03673,LOS GATOS LIBRARY
2018,8.60246,LOS GATOS LIBRARY
2019,5.64391,LOS GATOS LIBRARY
2010,1.44985,MADERA COUNTY LIBRARY
2011,0.63178,MADERA COUNTY LIBRARY
2012,1.37822,MADERA COUNTY LIBRARY
2013,1.43691,MADERA COUNTY LIBRARY
2014,1.32092,MADERA COUNTY LIBRARY
2015,1.11265,MADERA COUNTY LIBRARY
2016,1.11416,MADERA COUNTY LIBRARY
2017,1.11268,MADERA COUNTY LIBRARY
2018,0.90141,MADERA COUNTY LIBRARY
2019,0.69934,MADERA COUNTY LIBRARY
2010,7.98571,MARIN COUNTY FREE LIBRARY
2011,8.12951,MARIN COUNTY FREE LIBRARY
2012,7.53149,MARIN COUNTY FREE LIBRARY
2013,7.30005,MARIN COUNTY FREE LIBRARY
2014,7.38106,MARIN COUNTY FREE LIBRARY
2015,7.70067,MARIN COUNTY FREE LIBRARY
2016,7.56202,MARIN COUNTY FREE LIBRARY
2017,7.88331,MARIN COUNTY FREE LIBRARY
2018,7.72673,MARIN COUNTY FREE LIBRARY
2019,6.46749,MARIN COUNTY FREE LIBRARY
2010,7.65347,MARIPOSA COUNTY LIBRARY
2011,8.0718,MARIPOSA COUNTY LIBRARY
2012,8.07167,MARIPOSA COUNTY LIBRARY
2013,7.03958,MARIPOSA COUNTY LIBRARY
2014,7.35006,MARIPOSA COUNTY LIBRARY
2015,7.14081,MARIPOSA COUNTY LIBRARY
2016,6.99796,MARIPOSA COUNTY LIBRARY
2017,6.30482,MARIPOSA COUNTY LIBRARY
2018,6.3095,MARIPOSA COUNTY LIBRARY
2019,4.51929,MARIPOSA COUNTY LIBRARY
2010,,MENDOCINO COUNTY LIBRARY
2011,3.56244,MENDOCINO COUNTY LIBRARY
2012,4.91328,MENDOCINO COUNTY LIBRARY
2013,4.84876,MENDOCINO COUNTY LIBRARY
2014,4.69157,MENDOCINO COUNTY LIBRARY
2015,4.98598,MENDOCINO COUNTY LIBRARY
2016,5.24906,MENDOCINO COUNTY LIBRARY
2017,4.98109,MENDOCINO COUNTY LIBRARY
2018,5.0706,MENDOCINO COUNTY LIBRARY
2019,3.47204,MENDOCINO COUNTY LIBRARY
2010,10.1885,MENLO PARK PUBLIC LIBRARY
2011,9.28373,MENLO PARK PUBLIC LIBRARY
2012,10.13972,MENLO PARK PUBLIC LIBRARY
2013,9.52845,MENLO PARK PUBLIC LIBRARY
2014,10.69837,MENLO PARK PUBLIC LIBRARY
2015,10.40847,MENLO PARK PUBLIC LIBRARY
2016,9.70687,MENLO PARK PUBLIC LIBRARY
2017,8.33611,MENLO PARK PUBLIC LIBRARY
2018,7.86625,MENLO PARK PUBLIC LIBRARY
2019,5.35153,MENLO PARK PUBLIC LIBRARY
2010,2.40951,MERCED COUNTY LIBRARY
2011,2.2112,MERCED COUNTY LIBRARY
2012,1.72219,MERCED COUNTY LIBRARY
2013,1.28218,MERCED COUNTY LIBRARY
2014,1.28731,MERCED COUNTY LIBRARY
2015,1.24668,MERCED COUNTY LIBRARY
2016,1.18201,MERCED COUNTY LIBRARY
2017,1.14035,MERCED COUNTY LIBRARY
2018,1.13749,MERCED COUNTY LIBRARY
2019,0.78149,MERCED COUNTY LIBRARY
2010,17.73215,MILL VALLEY PUBLIC LIBRARY
2011,17.79735,MILL VALLEY PUBLIC LIBRARY
2012,17.35322,MILL VALLEY PUBLIC LIBRARY
2013,17.11342,MILL VALLEY PUBLIC LIBRARY
2014,16.80241,MILL VALLEY PUBLIC LIBRARY
2015,16.25457,MILL VALLEY PUBLIC LIBRARY
2016,15.45171,MILL VALLEY PUBLIC LIBRARY
2017,15.38147,MILL VALLEY PUBLIC LIBRARY
2018,15.46549,MILL VALLEY PUBLIC LIBRARY
2019,10.83549,MILL VALLEY PUBLIC LIBRARY
2010,7.21018,MISSION VIEJO LIBRARY
2011,8.39888,MISSION VIEJO LIBRARY
2012,8.47425,MISSION VIEJO LIBRARY
2013,9.16807,MISSION VIEJO LIBRARY
2014,8.63012,MISSION VIEJO LIBRARY
2015,8.3974,MISSION VIEJO LIBRARY
2016,8.39624,MISSION VIEJO LIBRARY
2017,7.88566,MISSION VIEJO LIBRARY
2018,8.00312,MISSION VIEJO LIBRARY
2019,2.82655,MISSION VIEJO LIBRARY
2010,,MODOC COUNTY LIBRARY
2011,,MODOC COUNTY LIBRARY
2012,,MODOC COUNTY LIBRARY
2013,,MODOC COUNTY LIBRARY
2014,1.7704,MODOC COUNTY LIBRARY
2015,1.48371,MODOC COUNTY LIBRARY
2016,1.46211,MODOC COUNTY LIBRARY
2017,1.4305,MODOC COUNTY LIBRARY
2018,1.40596,MODOC COUNTY LIBRARY
2019,1.21473,MODOC COUNTY LIBRARY
2010,10.4949,MONO COUNTY FREE LIBRARY
2011,10.60517,MONO COUNTY FREE LIBRARY
2012,9.73228,MONO COUNTY FREE LIBRARY
2013,8.86608,MONO COUNTY FREE LIBRARY
2014,8.14678,MONO COUNTY FREE LIBRARY
2015,8.21376,MONO COUNTY FREE LIBRARY
2016,8.19441,MONO COUNTY FREE LIBRARY
2017,11.11228,MONO COUNTY FREE LIBRARY
2018,8.04627,MONO COUNTY FREE LIBRARY
2019,5.33861,MONO COUNTY FREE LIBRARY
2010,6.38001,MONROVIA PUBLIC LIBRARY
2011,5.69962,MONROVIA PUBLIC LIBRARY
2012,5.28059,MONROVIA PUBLIC LIBRARY
2013,5.00718,MONROVIA PUBLIC LIBRARY
2014,4.93453,MONROVIA PUBLIC LIBRARY
2015,4.81679,MONROVIA PUBLIC LIBRARY
2016,4.86652,MONROVIA PUBLIC LIBRARY
2017,4.67626,MONROVIA PUBLIC LIBRARY
2018,4.60264,MONROVIA PUBLIC LIBRARY
2019,2.94398,MONROVIA PUBLIC LIBRARY
2010,4.33169,MONTEREY COUNTY FREE LIBRARIES
2011,4.34214,MONTEREY COUNTY FREE LIBRARIES
2012,3.76247,MONTEREY COUNTY FREE LIBRARIES
2013,3.69088,MONTEREY COUNTY FREE LIBRARIES
2014,3.90986,MONTEREY COUNTY FREE LIBRARIES
2015,4.09294,MONTEREY COUNTY FREE LIBRARIES
2016,3.31664,MONTEREY COUNTY FREE LIBRARIES
2017,3.06906,MONTEREY COUNTY FREE LIBRARIES
2018,2.92075,MONTEREY COUNTY FREE LIBRARIES
2019,2.31787,MONTEREY COUNTY FREE LIBRARIES
2010,5.62297,MONTEREY PARK BRUGGEMEYER LIBRARY
2011,5.58385,MONTEREY PARK BRUGGEMEYER LIBRARY
2012,5.02339,MONTEREY PARK BRUGGEMEYER LIBRARY
2013,5.19402,MONTEREY PARK BRUGGEMEYER LIBRARY
2014,,MONTEREY PARK BRUGGEMEYER LIBRARY
2015,5.32206,MONTEREY PARK BRUGGEMEYER LIBRARY
2016,5.17513,MONTEREY PARK BRUGGEMEYER LIBRARY
2017,4.83829,MONTEREY PARK BRUGGEMEYER LIBRARY
2018,4.42429,MONTEREY PARK BRUGGEMEYER LIBRARY
2019,2.89596,MONTEREY PARK BRUGGEMEYER LIBRARY
2010,11.15014,MONTEREY PUBLIC LIBRARY
2011,11.42895,MONTEREY PUBLIC LIBRARY
2012,11.67666,MONTEREY PUBLIC LIBRARY
2013,12.51288,MONTEREY PUBLIC LIBRARY
2014,12.66016,MONTEREY PUBLIC LIBRARY
2015,10.68787,MONTEREY PUBLIC LIBRARY
2016,9.79433,MONTEREY PUBLIC LIBRARY
2017,10.51658,MONTEREY PUBLIC LIBRARY
2018,8.85022,MONTEREY PUBLIC LIBRARY
2019,6.20362,MONTEREY PUBLIC LIBRARY
2010,4.48534,MOORPARK CITY LIBRARY
2011,3.7644,MOORPARK CITY LIBRARY
2012,3.27799,MOORPARK CITY LIBRARY
2013,3.89901,MOORPARK CITY LIBRARY
2014,3.7023,MOORPARK CITY LIBRARY
2015,3.08277,MOORPARK CITY LIBRARY
2016,2.97858,MOORPARK CITY LIBRARY
2017,2.48351,MOORPARK CITY LIBRARY
2018,2.05656,MOORPARK CITY LIBRARY
2019,1.59998,MOORPARK CITY LIBRARY
2010,1.40434,MORENO VALLEY PUBLIC LIBRARY
2011,1.36015,MORENO VALLEY PUBLIC LIBRARY
2012,1.26376,MORENO VALLEY PUBLIC LIBRARY
2013,1.37565,MORENO VALLEY PUBLIC LIBRARY
2014,1.62039,MORENO VALLEY PUBLIC LIBRARY
2015,1.43616,MORENO VALLEY PUBLIC LIBRARY
2016,1.33736,MORENO VALLEY PUBLIC LIBRARY
2017,1.16414,MORENO VALLEY PUBLIC LIBRARY
2018,1.29257,MORENO VALLEY PUBLIC LIBRARY
2019,1.34443,MORENO VALLEY PUBLIC LIBRARY
2010,11.64071,MOUNTAIN VIEW PUBLIC LIBRARY
2011,11.71313,MOUNTAIN VIEW PUBLIC LIBRARY
2012,11.22284,MOUNTAIN VIEW PUBLIC LIBRARY
2013,10.66062,MOUNTAIN VIEW PUBLIC LIBRARY
2014,8.70229,MOUNTAIN VIEW PUBLIC LIBRARY
2015,8.01079,MOUNTAIN VIEW PUBLIC LIBRARY
2016,7.99617,MOUNTAIN VIEW PUBLIC LIBRARY
2017,6.88062,MOUNTAIN VIEW PUBLIC LIBRARY
2018,7.17242,MOUNTAIN VIEW PUBLIC LIBRARY
2019,5.36502,MOUNTAIN VIEW PUBLIC LIBRARY
